                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82451,                 2.0903,                0.87952,                0.68453,                0.54103,                0.56518,                0.48326,                 0.5506,                0.68926,                0.79525,             5.9291e-05,             5.9291e-05,             5.9291e-05
                      2,                 0.6535,                0.64241,                0.81622,                0.83841,                0.75274,                0.81011,                0.69482,                0.53677,                0.42506,                0.79472,             0.00011111,             0.00011111,             0.00011111
                      3,                0.63088,                0.50655,                0.81432,                0.89567,                0.80641,                0.87039,                 0.7424,                0.54689,                0.38532,                0.79686,             0.00015505,             0.00015505,             0.00015505
                      4,                0.60306,                0.44562,                0.81433,                0.93359,                0.85398,                0.92431,                0.80655,                0.51721,                0.33874,                0.79152,             0.00014356,             0.00014356,             0.00014356
                      5,                0.60021,                0.41489,                 0.8088,                  0.916,                0.91404,                0.94192,                0.82067,                0.51378,                0.33122,                0.79108,             0.00014356,             0.00014356,             0.00014356
                      6,                0.59823,                0.36688,                 0.8025,                0.94032,                0.91501,                   0.95,                0.82419,                0.52145,                0.31457,                0.79239,             0.00013174,             0.00013174,             0.00013174
                      7,                  0.589,                0.34831,                0.79964,                0.95976,                0.93678,                0.96042,                0.83477,                0.51576,                0.30482,                0.79098,             0.00011993,             0.00011993,             0.00011993
                      8,                0.57608,                0.32943,                0.80047,                0.95297,                0.92702,                0.96748,                0.84268,                 0.5208,                0.30167,                0.79054,             0.00010812,             0.00010812,             0.00010812
                      9,                0.56697,                0.32161,                0.79692,                0.94741,                0.93546,                0.97566,                0.84675,                0.51533,                0.29397,                0.79046,             9.6302e-05,             9.6302e-05,             9.6302e-05
                     10,                0.55334,                0.30776,                0.79568,                  0.942,                0.96908,                0.98433,                 0.8561,                0.51164,                0.28277,                0.79052,             8.4488e-05,             8.4488e-05,             8.4488e-05
                     11,                0.54838,                 0.3014,                0.79555,                0.94573,                0.96536,                0.98498,                0.85859,                0.50595,                0.27164,                0.78942,             7.2674e-05,             7.2674e-05,             7.2674e-05
                     12,                0.52774,                0.28733,                0.79007,                0.95739,                0.97552,                0.98529,                0.85955,                0.50037,                0.26642,                0.78822,              6.086e-05,              6.086e-05,              6.086e-05
                     13,                0.52186,                0.28243,                0.79288,                0.96171,                0.97532,                 0.9875,                 0.8654,                0.49279,                0.26291,                0.78665,             4.9046e-05,             4.9046e-05,             4.9046e-05
                     14,                 0.5104,                0.27447,                0.78997,                0.96901,                0.97456,                0.98804,                 0.8698,                0.49169,                0.25716,                0.78652,             3.7232e-05,             3.7232e-05,             3.7232e-05
                     15,                 0.5019,                0.26861,                0.78647,                0.97646,                 0.9711,                0.98952,                0.86765,                0.48953,                0.25126,                 0.7868,             2.5418e-05,             2.5418e-05,             2.5418e-05
